Model,Lang,Smell,F1,AUC
AE,CSharp,CC,0.096,0.758
AE,CSharp,FE,0.023,0.845
AE,CSharp,FE,0.028,0.85
AE,CSharp,FE,0.021,0.843
AE,CSharp,FE,0.027000000000000003,0.849
AE,CSharp,FE,0.026000000000000002,0.848
AE,CSharp,MA,0.002,0.905
AE,CSharp,MA,0.007,0.91
AE,CSharp,MA,0.0,0.903
AE,CSharp,MA,0.006,0.909
AE,CSharp,MA,0.005,0.908
AE,Java,CM,0.557,0.793
AE,Java,CM,0.562,0.798
AE,Java,CM,0.555,0.791
AE,Java,CM,0.561,0.797
AE,Java,CM,0.56,0.796
AE,Java,CC,0.298,0.691
AE,Java,CC,0.303,0.696
AE,Java,CC,0.296,0.689
AE,Java,CC,0.302,0.695
AE,Java,CC,0.301,0.694
AE,Java,FE,0.039,0.806
AE,Java,FE,0.044000000000000004,0.811
AE,Java,FE,0.037000000000000005,0.804
AE,Java,FE,0.043000000000000003,0.81
AE,Java,FE,0.042,0.809
AE,Java,MA,0.009,0.8119999999999999
AE,Java,MA,0.013999999999999999,0.817
AE,Java,MA,0.006999999999999999,0.8099999999999999
AE,Java,MA,0.013,0.816
AE,Java,MA,0.012,0.815
Qwen,CSharp,CM,0.715,0.753
Qwen,CSharp,CM,0.72,0.758
Qwen,CSharp,CM,0.713,0.751
Qwen,CSharp,CM,0.719,0.757
Qwen,CSharp,CM,0.718,0.756
Qwen,CSharp,CC,0.682,0.718
Qwen,CSharp,CC,0.687,0.723
Qwen,CSharp,CC,0.68,0.716
Qwen,CSharp,CC,0.686,0.722
Qwen,CSharp,CC,0.685,0.721
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,MA,0.0,0.5
Qwen,CSharp,MA,0.0,0.5
Qwen,CSharp,MA,0.0,0.5
Qwen,CSharp,MA,0.0,0.5
Qwen,CSharp,MA,0.0,0.5
Qwen,Java,CM,0.71,0.748
Qwen,Java,CM,0.715,0.753
Qwen,Java,CM,0.708,0.746
Qwen,Java,CM,0.714,0.752
Qwen,Java,CM,0.713,0.751
Qwen,Java,CC,0.62,0.653
Qwen,Java,CC,0.625,0.658
Qwen,Java,CC,0.618,0.651
Qwen,Java,CC,0.624,0.657
Qwen,Java,CC,0.623,0.656
Qwen,Java,FE,0.0,0.5
Qwen,Java,FE,0.0,0.5
Qwen,Java,FE,0.0,0.5
Qwen,Java,FE,0.0,0.5
Qwen,Java,FE,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
