Model,Lang,Smell,Ratio,F1,AUC
CodeBERT,CSharp,CM,10%,0.985,0.9816
CodeBERT,CSharp,CM,10%,0.9794,0.9596
CodeBERT,CSharp,CM,10%,0.994,0.9772
CodeBERT,CSharp,CM,10%,0.9778,0.9712
CodeBERT,CSharp,CM,30%,0.9689,0.9793
CodeBERT,CSharp,CM,30%,0.9861,0.9775
CodeBERT,CSharp,CM,30%,0.9877,0.9887
CodeBERT,CSharp,CM,30%,0.9757,0.9859
CodeBERT,CSharp,CM,30%,0.9866,0.9636
CodeBERT,CSharp,CM,50%,0.9945,0.9728
CodeBERT,CSharp,CM,50%,0.9936,0.9788
CodeBERT,CSharp,CM,50%,0.9571,0.9737
CodeBERT,CSharp,CM,50%,0.9914,0.9843
CodeBERT,CSharp,CM,50%,0.9784,0.9904
CodeBERT,CSharp,CC,10%,0.7937,0.9916
CodeBERT,CSharp,CC,10%,0.7808,0.9735
CodeBERT,CSharp,CC,10%,0.7792,0.9768
CodeBERT,CSharp,CC,10%,0.7803,0.9694
CodeBERT,CSharp,CC,10%,0.796,0.9837
CodeBERT,CSharp,CC,30%,0.8011,0.9915
CodeBERT,CSharp,CC,30%,0.7986,0.9865
CodeBERT,CSharp,CC,30%,0.799,0.9715
CodeBERT,CSharp,CC,30%,0.806,0.9636
CodeBERT,CSharp,CC,30%,0.8003,0.9819
CodeBERT,CSharp,CC,50%,0.8086,0.9798
CodeBERT,CSharp,CC,50%,0.8011,0.9695
CodeBERT,CSharp,CC,50%,0.8017,0.982
CodeBERT,CSharp,CC,50%,0.8044,0.988
CodeBERT,CSharp,CC,50%,0.8042,0.9807
CodeBERT,CSharp,FE,10%,0.3613,0.457
CodeBERT,CSharp,FE,10%,0.3895,0.457
CodeBERT,CSharp,FE,10%,0.3415,0.457
CodeBERT,CSharp,FE,10%,0.3575,0.457
CodeBERT,CSharp,FE,10%,0.3502,0.457
CodeBERT,CSharp,FE,30%,0.3577,0.454
CodeBERT,CSharp,FE,30%,0.3861,0.454
CodeBERT,CSharp,FE,30%,0.3667,0.454
CodeBERT,CSharp,FE,30%,0.3649,0.454
CodeBERT,CSharp,FE,30%,0.3646,0.454
CodeBERT,CSharp,FE,50%,0.3634,0.449
CodeBERT,CSharp,FE,50%,0.3574,0.449
CodeBERT,CSharp,FE,50%,0.3629,0.449
CodeBERT,CSharp,FE,50%,0.3476,0.449
CodeBERT,CSharp,FE,50%,0.3787,0.449
CodeBERT,CSharp,MA,10%,0.4362,0.497
CodeBERT,CSharp,MA,10%,0.438,0.497
CodeBERT,CSharp,MA,10%,0.4464,0.497
CodeBERT,CSharp,MA,10%,0.4477,0.497
CodeBERT,CSharp,MA,10%,0.4467,0.497
CodeBERT,CSharp,MA,30%,0.3075,0.5
CodeBERT,CSharp,MA,30%,0.3125,0.5
CodeBERT,CSharp,MA,30%,0.3165,0.5
CodeBERT,CSharp,MA,30%,0.3106,0.54
CodeBERT,CSharp,MA,30%,0.2979,0.5
CodeBERT,CSharp,MA,50%,0.3352,0.496
CodeBERT,CSharp,MA,50%,0.3169,0.496
CodeBERT,CSharp,MA,50%,0.3082,0.496
CodeBERT,CSharp,MA,50%,0.3198,0.496
CodeBERT,CSharp,MA,50%,0.3049,0.496
CodeBERT,Java,CM,10%,0.955,0.9384
CodeBERT,Java,CM,10%,0.947,0.9693
CodeBERT,Java,CM,10%,0.9348,0.9444
CodeBERT,Java,CM,10%,0.9449,0.9531
CodeBERT,Java,CM,10%,0.9483,0.9448
CodeBERT,Java,CM,30%,0.9423,0.958
CodeBERT,Java,CM,30%,0.9683,0.9545
CodeBERT,Java,CM,30%,0.9359,0.9182
CodeBERT,Java,CM,30%,0.9342,0.9566
CodeBERT,Java,CM,30%,0.9443,0.9577
CodeBERT,Java,CM,50%,0.9492,0.9501
CodeBERT,Java,CM,50%,0.9405,0.9303
CodeBERT,Java,CM,50%,0.9378,0.953
CodeBERT,Java,CM,50%,0.9371,0.9451
CodeBERT,Java,CM,50%,0.9604,0.9465
CodeBERT,Java,CC,10%,0.9178,0.9369
CodeBERT,Java,CC,10%,0.9097,0.9293
CodeBERT,Java,CC,10%,0.92,0.9261
CodeBERT,Java,CC,10%,0.9048,0.9351
CodeBERT,Java,CC,10%,0.9177,0.9326
CodeBERT,Java,CC,30%,0.9298,0.9424
CodeBERT,Java,CC,30%,0.9281,0.9349
CodeBERT,Java,CC,30%,0.9321,0.9345
CodeBERT,Java,CC,30%,0.9196,0.9205
CodeBERT,Java,CC,30%,0.8954,0.9227
CodeBERT,Java,CC,50%,0.9096,0.9407
CodeBERT,Java,CC,50%,0.9486,0.9179
CodeBERT,Java,CC,50%,0.9069,0.9151
CodeBERT,Java,CC,50%,0.9117,0.9355
CodeBERT,Java,CC,50%,0.9032,0.9358
CodeBERT,Java,FE,10%,0.3329,0.363
CodeBERT,Java,FE,10%,0.3446,0.363
CodeBERT,Java,FE,10%,0.3437,0.363
CodeBERT,Java,FE,10%,0.3409,0.363
CodeBERT,Java,FE,10%,0.3579,0.363
CodeBERT,Java,FE,30%,0.345,0.363
CodeBERT,Java,FE,30%,0.3562,0.363
CodeBERT,Java,FE,30%,0.3424,0.363
CodeBERT,Java,FE,30%,0.3509,0.363
CodeBERT,Java,FE,30%,0.3355,0.363
CodeBERT,Java,FE,50%,0.3369,0.358
CodeBERT,Java,FE,50%,0.3499,0.358
CodeBERT,Java,FE,50%,0.3462,0.358
CodeBERT,Java,FE,50%,0.3703,0.358
CodeBERT,Java,FE,50%,0.3217,0.358
CodeBERT,Java,MA,10%,0.2544,0.299
CodeBERT,Java,MA,10%,0.2557,0.299
CodeBERT,Java,MA,10%,0.2489,0.299
CodeBERT,Java,MA,10%,0.2513,0.299
CodeBERT,Java,MA,10%,0.2747,0.299
CodeBERT,Java,MA,30%,0.2689,0.312
CodeBERT,Java,MA,30%,0.2635,0.312
CodeBERT,Java,MA,30%,0.278,0.312
CodeBERT,Java,MA,30%,0.2461,0.312
CodeBERT,Java,MA,30%,0.2635,0.312
CodeBERT,Java,MA,50%,0.2789,0.308
CodeBERT,Java,MA,50%,0.2666,0.308
CodeBERT,Java,MA,50%,0.2691,0.308
CodeBERT,Java,MA,50%,0.2577,0.308
CodeBERT,Java,MA,50%,0.2527,0.308
AE,CSharp,CM,10%,0.6983,0.8759
AE,CSharp,CM,10%,0.7074,0.8647
AE,CSharp,CM,10%,0.6962,0.8835
AE,CSharp,CM,10%,0.6943,0.8775
AE,CSharp,CM,10%,0.7088,0.8734
AE,CSharp,CM,30%,0.697,0.8919
AE,CSharp,CM,30%,0.7231,0.8569
AE,CSharp,CM,30%,0.695,0.8731
AE,CSharp,CM,30%,0.6921,0.8783
AE,CSharp,CM,30%,0.7078,0.8848
AE,CSharp,CM,50%,0.6958,0.8838
AE,CSharp,CM,50%,0.6954,0.8786
AE,CSharp,CM,50%,0.7187,0.8711
AE,CSharp,CM,50%,0.6977,0.8845
AE,CSharp,CM,50%,0.6974,0.877
AE,CSharp,CC,10%,0.4512,0.5837
AE,CSharp,CC,10%,0.4547,0.5691
AE,CSharp,CC,10%,0.4483,0.6018
AE,CSharp,CC,10%,0.4803,0.5914
AE,CSharp,CC,10%,0.4505,0.594
AE,CSharp,CC,30%,0.4533,0.589
AE,CSharp,CC,30%,0.454,0.5932
AE,CSharp,CC,30%,0.4649,0.5804
AE,CSharp,CC,30%,0.4451,0.5913
AE,CSharp,CC,30%,0.4527,0.5811
AE,CSharp,CC,50%,0.4532,0.5938
AE,CSharp,CC,50%,0.4593,0.5642
AE,CSharp,CC,50%,0.458,0.5938
AE,CSharp,CC,50%,0.4394,0.5861
AE,CSharp,CC,50%,0.4601,0.6021
AE,CSharp,FE,10%,0.0944,0.119
AE,CSharp,FE,10%,0.0981,0.119
AE,CSharp,FE,10%,0.0974,0.119
AE,CSharp,FE,10%,0.1271,0.119
AE,CSharp,FE,10%,0.103,0.119
AE,CSharp,FE,30%,0.0969,0.119
AE,CSharp,FE,30%,0.1124,0.119
AE,CSharp,FE,30%,0.1114,0.119
AE,CSharp,FE,30%,0.1022,0.119
AE,CSharp,FE,30%,0.1071,0.119
AE,CSharp,FE,50%,0.1137,0.123
AE,CSharp,FE,50%,0.1033,0.123
AE,CSharp,FE,50%,0.1054,0.123
AE,CSharp,FE,50%,0.0994,0.123
AE,CSharp,FE,50%,0.1082,0.123
AE,CSharp,MA,10%,0.0404,0.049
AE,CSharp,MA,10%,0.0355,0.049
AE,CSharp,MA,10%,0.0408,0.049
AE,CSharp,MA,10%,0.0333,0.049
AE,CSharp,MA,10%,0.0,0.049
AE,CSharp,MA,30%,-0.0001,0.049
AE,CSharp,MA,30%,0.0294,0.049
AE,CSharp,MA,30%,0.0255,0.049
AE,CSharp,MA,30%,0.0342,0.049
AE,CSharp,MA,30%,0.036,0.049
AE,CSharp,MA,50%,0.0575,0.048
AE,CSharp,MA,50%,0.0,0.048
AE,CSharp,MA,50%,0.0431,0.048
AE,CSharp,MA,50%,0.0444,0.048
AE,CSharp,MA,50%,0.0,0.048
AE,Java,CM,10%,0.6807,0.9812
AE,Java,CM,10%,0.6766,0.9874
AE,Java,CM,10%,0.6982,0.9794
AE,Java,CM,10%,0.6981,0.9791
AE,Java,CM,10%,0.7064,0.9829
AE,Java,CM,30%,0.6878,0.9771
AE,Java,CM,30%,0.7151,0.9722
AE,Java,CM,30%,0.6706,0.9814
AE,Java,CM,30%,0.684,0.9894
AE,Java,CM,30%,0.6975,0.9699
AE,Java,CM,50%,0.6967,0.9799
AE,Java,CM,50%,0.6938,0.9735
AE,Java,CM,50%,0.6956,0.9662
AE,Java,CM,50%,0.6773,0.9863
AE,Java,CM,50%,0.6866,0.9791
AE,Java,CC,10%,0.4933,0.8029
AE,Java,CC,10%,0.477,0.8216
AE,Java,CC,10%,0.484,0.8062
AE,Java,CC,10%,0.4897,0.8134
AE,Java,CC,10%,0.496,0.8109
AE,Java,CC,30%,0.4972,0.809
AE,Java,CC,30%,0.4728,0.8167
AE,Java,CC,30%,0.4988,0.822
AE,Java,CC,30%,0.4955,0.8085
AE,Java,CC,30%,0.4857,0.8088
AE,Java,CC,50%,0.4715,0.8049
AE,Java,CC,50%,0.4779,0.8084
AE,Java,CC,50%,0.4906,0.8126
AE,Java,CC,50%,0.48,0.8247
AE,Java,CC,50%,0.51,0.8044
AE,Java,FE,10%,0.1505,0.145
AE,Java,FE,10%,0.1343,0.145
AE,Java,FE,10%,0.1205,0.145
AE,Java,FE,10%,0.1374,0.145
AE,Java,FE,10%,0.1423,0.145
AE,Java,FE,30%,0.1361,0.142
AE,Java,FE,30%,0.1357,0.142
AE,Java,FE,30%,0.1509,0.142
AE,Java,FE,30%,0.1403,0.142
AE,Java,FE,30%,0.132,0.142
AE,Java,FE,50%,0.135,0.144
AE,Java,FE,50%,0.1379,0.144
AE,Java,FE,50%,0.1428,0.144
AE,Java,FE,50%,0.1403,0.144
AE,Java,FE,50%,0.134,0.144
AE,Java,MA,10%,0.0,0.072
AE,Java,MA,10%,0.0979,0.072
AE,Java,MA,10%,0.0,0.072
AE,Java,MA,10%,0.0,0.072
AE,Java,MA,10%,0.0971,0.072
AE,Java,MA,30%,0.0,0.074
AE,Java,MA,30%,0.0591,0.074
AE,Java,MA,30%,0.0609,0.074
AE,Java,MA,30%,0.0466,0.074
AE,Java,MA,30%,0.0534,0.074
AE,Java,MA,50%,0.0,0.067
AE,Java,MA,50%,0.0,0.067
AE,Java,MA,50%,0.1152,0.067
AE,Java,MA,50%,0.0948,0.067
AE,Java,MA,50%,0.0,0.067
Qwen,CSharp,CM,10%,0.1551,0.5797
Qwen,CSharp,CM,10%,0.1523,0.5632
Qwen,CSharp,CM,10%,0.1468,0.5
Qwen,CSharp,CM,10%,0.1386,0.5621
Qwen,CSharp,CM,10%,0.1322,0.5
Qwen,CSharp,CM,30%,0.1388,0.5657
Qwen,CSharp,CM,30%,0.1239,0.5774
Qwen,CSharp,CM,30%,0.1313,0.5
Qwen,CSharp,CM,30%,0.1321,0.5719
Qwen,CSharp,CM,30%,0.1339,0.5
Qwen,CSharp,CM,50%,0.1145,0.5
Qwen,CSharp,CM,50%,0.1234,0.5
Qwen,CSharp,CM,50%,0.123,0.569
Qwen,CSharp,CM,50%,0.1366,0.5723
Qwen,CSharp,CM,50%,0.1275,0.5587
Qwen,CSharp,CC,10%,0.0582,0.5029
Qwen,CSharp,CC,10%,0.0681,0.5134
Qwen,CSharp,CC,10%,0.0563,0.5
Qwen,CSharp,CC,10%,0.0614,0.5446
Qwen,CSharp,CC,10%,0.061,0.5241
Qwen,CSharp,CC,30%,0.1044,0.5556
Qwen,CSharp,CC,30%,0.1032,0.5
Qwen,CSharp,CC,30%,0.0977,0.5844
Qwen,CSharp,CC,30%,0.0977,0.5
Qwen,CSharp,CC,30%,0.092,0.5
Qwen,CSharp,CC,50%,0.1003,0.5423
Qwen,CSharp,CC,50%,0.1082,0.5
Qwen,CSharp,CC,50%,0.0938,0.5541
Qwen,CSharp,CC,50%,0.1006,0.5077
Qwen,CSharp,CC,50%,0.0921,0.5359
Qwen,CSharp,FE,10%,0.0306,0.505
Qwen,CSharp,FE,10%,0.0,0.505
Qwen,CSharp,FE,10%,0.0,0.505
Qwen,CSharp,FE,10%,0.0372,0.5
Qwen,CSharp,FE,10%,0.0272,0.505
Qwen,CSharp,FE,30%,0.0498,0.498
Qwen,CSharp,FE,30%,0.0,0.498
Qwen,CSharp,FE,30%,0.0,0.498
Qwen,CSharp,FE,30%,0.0552,0.498
Qwen,CSharp,FE,30%,0.0,0.498
Qwen,CSharp,FE,50%,0.0375,0.5
Qwen,CSharp,FE,50%,0.0431,0.5
Qwen,CSharp,FE,50%,0.0,0.5005
Qwen,CSharp,FE,50%,0.0394,0.5
Qwen,CSharp,FE,50%,0.0,0.5045
Qwen,CSharp,MA,10%,0.0229,0.5088
Qwen,CSharp,MA,10%,0.0226,0.5462
Qwen,CSharp,MA,10%,0.0267,0.5
Qwen,CSharp,MA,10%,0.0328,0.5
Qwen,CSharp,MA,10%,0.0,0.5
Qwen,CSharp,MA,30%,0.0,0.5107
Qwen,CSharp,MA,30%,0.0545,0.5
Qwen,CSharp,MA,30%,0.0,0.5085
Qwen,CSharp,MA,30%,0.0555,0.5108
Qwen,CSharp,MA,30%,0.0,0.5
Qwen,CSharp,MA,50%,0.0,0.5015
Qwen,CSharp,MA,50%,0.0617,0.5
Qwen,CSharp,MA,50%,0.0,0.5123
Qwen,CSharp,MA,50%,0.0433,0.5216
Qwen,CSharp,MA,50%,0.0,0.5146
Qwen,Java,CM,10%,0.1502,0.5608
Qwen,Java,CM,10%,0.1677,0.5424
Qwen,Java,CM,10%,0.1414,0.5
Qwen,Java,CM,10%,0.1515,0.5717
Qwen,Java,CM,10%,0.1292,0.5451
Qwen,Java,CM,30%,0.1771,0.5663
Qwen,Java,CM,30%,0.1652,0.5556
Qwen,Java,CM,30%,0.1653,0.5511
Qwen,Java,CM,30%,0.1668,0.5415
Qwen,Java,CM,30%,0.1456,0.5505
Qwen,Java,CM,50%,0.1737,0.5571
Qwen,Java,CM,50%,0.166,0.5365
Qwen,Java,CM,50%,0.1796,0.5585
Qwen,Java,CM,50%,0.191,0.5567
Qwen,Java,CM,50%,0.1697,0.5612
Qwen,Java,CC,10%,0.0989,0.5099
Qwen,Java,CC,10%,0.1017,0.5401
Qwen,Java,CC,10%,0.0872,0.5
Qwen,Java,CC,10%,0.096,0.5202
Qwen,Java,CC,10%,0.1062,0.5198
Qwen,Java,CC,30%,0.1232,0.5537
Qwen,Java,CC,30%,0.1252,0.5
Qwen,Java,CC,30%,0.1187,0.5
Qwen,Java,CC,30%,0.1061,0.5417
Qwen,Java,CC,30%,0.1118,0.5396
Qwen,Java,CC,50%,0.1111,0.5568
Qwen,Java,CC,50%,0.1177,0.5277
Qwen,Java,CC,50%,0.1223,0.5
Qwen,Java,CC,50%,0.1229,0.5255
Qwen,Java,CC,50%,0.106,0.51
Qwen,Java,FE,10%,0.0247,0.5191
Qwen,Java,FE,10%,0.0322,0.5159
Qwen,Java,FE,10%,0.0192,0.5
Qwen,Java,FE,10%,0.0139,0.525
Qwen,Java,FE,10%,0.0,0.5
Qwen,Java,FE,30%,0.0,0.5224
Qwen,Java,FE,30%,0.0443,0.505
Qwen,Java,FE,30%,0.0454,0.515
Qwen,Java,FE,30%,0.0253,0.5176
Qwen,Java,FE,30%,0.0,0.5
Qwen,Java,FE,50%,0.0,0.5171
Qwen,Java,FE,50%,0.0532,0.5379
Qwen,Java,FE,50%,0.0,0.5
Qwen,Java,FE,50%,0.0418,0.5
Qwen,Java,FE,50%,0.0,0.5
Qwen,Java,MA,10%,0.0222,0.5
Qwen,Java,MA,10%,0.0,0.515
Qwen,Java,MA,10%,0.0297,0.5
Qwen,Java,MA,10%,0.0231,0.5054
Qwen,Java,MA,10%,0.0,0.5146
Qwen,Java,MA,30%,0.0246,0.5336
Qwen,Java,MA,30%,0.0344,0.5013
Qwen,Java,MA,30%,0.0257,0.5
Qwen,Java,MA,30%,0.0253,0.5
Qwen,Java,MA,30%,0.0,0.5051
Qwen,Java,MA,50%,0.0151,0.5105
Qwen,Java,MA,50%,0.0278,0.5156
Qwen,Java,MA,50%,0.0224,0.5
Qwen,Java,MA,50%,0.0247,0.5
Qwen,Java,MA,50%,0.0,0.5139
