Model,Lang,Smell,F1,AUC
Qwen,CSharp,MA,0.0,0.475
Qwen,CSharp,MA,0.0,0.475
Qwen,CSharp,MA,0.0,0.475
Qwen,CSharp,MA,0.0,0.475
Qwen,CSharp,MA,0.0,0.475
Qwen,Java,CM,0.0001,0.25
Qwen,Java,CM,0.04,0.25
Qwen,Java,CM,0.0535,0.25
Qwen,Java,CM,0.0487,0.25
Qwen,Java,CM,0.0477,0.25
Qwen,Java,CC,0.1239,0.345
Qwen,Java,CC,0.122,0.345
Qwen,Java,CC,0.1112,0.345
Qwen,Java,CC,0.1204,0.345
Qwen,Java,CC,0.1275,0.345
Qwen,Java,FE,0.0,0.485
Qwen,Java,FE,0.0,0.485
Qwen,Java,FE,0.0,0.485
Qwen,Java,FE,0.0,0.485
Qwen,Java,FE,0.0,0.485
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
Qwen,Java,MA,0.0,0.5
